period,main_cum,main_sharpe,main_dd,nogate_cum,nogate_sharpe,nogate_dd,reverse_cum,reverse_sharpe,reverse_dd,mm_mkt_cum,mm_mkt_sharpe,mm_mkt_dd,unscaled_cum,unscaled_sharpe,unscaled_dd,mkt_cum,mkt_sharpe,mkt_dd,exc_vs_unscaled,exc_vs_mkt,exc_vs_mmmkt
1931-1989,1025223.3531539651,1.3175004288718755,-29.812986881215163,1451899.37354259,1.2274291036550429,-32.863579402621646,312611.0725837381,1.1058532457882748,-31.2349307968802,21475.227109274885,0.4324971633041455,-57.322408606006334,57090.36310445705,1.1631305922536712,-20.574037134804136,34890.14528041559,0.426706850640256,-63.487566640430224,968132.990049508,990333.2078735495,1003748.1260446901
1990-2009,1568.584587840927,0.9979631021032905,-35.81058186730076,1530.0832070686915,0.9004106251868472,-44.77220391524798,778.4454044483248,0.7715755828905876,-42.20656365236557,531.4110296949161,0.4648039387527924,-37.04048221711912,648.1848443284485,0.9329640107384616,-24.5906015252215,403.5022749918726,0.35958564891532957,-50.31170717166411,920.3997435124785,1165.0823128490545,1037.173558146011
2010-2026,506.69264280568376,1.1641046787974316,-14.187028593312245,580.1558778784715,1.0837140263724347,-20.552786281000866,382.3333727200364,0.9695843579862499,-20.552786281000856,484.6093026674017,0.6907100660599331,-25.619721303318745,210.40107359669088,1.0453221198600198,-10.624422015987612,799.0761376651727,0.8718875655666177,-24.84493224703469,296.2915692089929,-292.38349485948896,22.08334013828204
