key,n,cumret,annret,sharpe,maxdd
main,1142,49121.32658275149,0.12019956657245179,1.2192943115161161,-0.37251739309931453
nogate,1142,76302.88272927527,0.12539561493801799,1.130697858553657,-0.46013930917262746
reverse,1142,6244.883778615475,0.09618447929893015,1.016575208494775,-0.4374437866853258
gate3m,1142,54336.93506195306,0.12138798812953477,1.1781304152641119,-0.3486448837590548
gatevolq,1142,29491.414237541423,0.11421033835151895,1.178214768674926,-0.36245216036867
nobab,1142,10305.840730304817,0.10196917296894581,0.9944758308689338,-0.3820018166842055
mm_mkt,1142,383.9816655426783,0.06455350973577034,0.483650656395873,-0.5801403836576682
unscaled,1142,620.6575086694166,0.06992738411844845,1.0976530601206194,-0.26268444233995225
mkt,1142,833.0928736362993,0.07323733736867677,0.48167327900665874,-0.6622125311355088
spy_1993p,402,29.980038272988207,0.10792384370838493,0.7717220438721608,-0.5078481542625723
