label,n,cumret,cagr,sharpe,maxdd,calmar,start,end,超额累计pp,超额Sharpe
SPY buy-hold,2673,3.6694393683210613,0.15607516652224196,0.9104712945574592,-0.33717256183427247,0.4628940316886053,2016-02-01,2026-09-17,0.0,0.0
overlay 主规格 40%SPY+60%现金,2673,2.5180647363740976,0.12567736303832522,0.967119126660388,-0.21141506659560128,0.5944579308471105,2016-02-01,2026-09-17,-115.13746319469638,0.056647832102928786
overlay 变体 top3行业,2673,3.878127506250931,0.16084200800550374,0.9662073426105467,-0.2966447414560306,0.5422041436367215,2016-02-01,2026-09-17,20.868813792986973,0.05573604805308752
