Date,ANGL_cum,HYG_cum
2012-04-11,,
2012-04-12,0.005964722255296984,0.008956106391594165
2012-04-13,0.006759625926680002,0.005708817253115006
2012-04-16,0.009145702608040374,0.007275762233496685
2012-04-17,0.01590481640951591,0.011641630575556894
2012-04-18,0.014712076808538255,0.011306103519250987
2012-04-19,0.017893313223883656,0.009403351253952863
2012-04-20,0.016302054859705484,0.010970016005724004
2012-04-23,0.01312158663216656,0.008843734718783303
2012-04-24,0.014712076808538255,0.011194105484587435
2012-04-25,0.01590481640951591,0.018581585524137134
2012-04-26,0.012326256189780116,0.019252265998601414
2012-04-27,0.012326256189780116,0.01880520795531626
2012-04-30,0.01590481640951591,0.02082014507435126
2012-05-01,0.01153126716419628,0.021596565144511137
2012-05-02,0.012326256189779894,0.02553611236046338
2012-05-03,0.012724177473575349,0.024860574590083617
2012-05-04,0.011928590968586672,0.022835175602923252
2012-05-07,0.010736278138612665,0.024523179343041157
2012-05-08,0.01431407017054176,0.024298062359272565
2012-05-09,0.011531267164196057,0.02069647084758408
2012-05-10,0.010736278138612443,0.019570045242909062
2012-05-11,0.009940350216820715,0.022159170784859628
2012-05-14,0.00914570260803993,0.014618499104902982
2012-05-15,0.008350542874054678,0.009664991366623354
2012-05-16,0.002385905972958513,-0.00024043614780955291
2012-05-17,-0.0019880700433646536,-0.014085224059120938
2012-05-18,-0.012722897160564961,-0.014085224059120938
2012-05-21,-0.00954302641243121,-0.0038411869736665327
2012-05-22,-0.007951085214647158,-0.003954586151382333
2012-05-23,-0.012722897160565072,-0.0049671455306573575
2012-05-24,-0.005963527296487414,-0.004742775823183387
2012-05-25,-0.005168452916703092,-0.007894039957797805
2012-05-29,-0.004373293182717952,0.003024507393130982
2012-05-30,-0.010338015438014936,-0.0014778322822428525
2012-05-31,-0.0003971530959895331,-0.01205833051937144
2012-06-01,0.0064860657133449795,-0.02064369445927361
2012-06-04,-0.0027184459389970606,-0.019851114539241488
2012-06-05,-0.0071202474247576975,-0.013622099575500868
2012-06-06,-0.007921296598592975,-0.0030895204307679336
2012-06-07,-0.0071202474247576975,0.0006492896905290202
2012-06-08,-0.0023186468627857115,0.0045000044369523096
2012-06-11,-0.003919379543244728,-0.0020694882885464727
2012-06-12,0.0024840633037959137,0.0049524802333735796
2012-06-13,0.0064860657133449795,0.0020080248133085288
2012-06-14,0.0064860657133449795,0.009483122998408033
2012-06-15,0.003284258935624118,0.01129517460344065
2012-06-18,0.007286858824578246,0.011635839184272356
2012-06-19,0.008487109595219922,0.01877017937900316
2012-06-20,0.013689362775410663,0.022735320808047632
2012-06-21,0.01849164617098875,0.014354056706126661
2012-06-22,0.014489985178242515,0.02126178536449963
2012-06-25,0.016891681678336212,0.01967671893397238
2012-06-26,0.014489985178242515,0.018204210995329317
2012-06-27,0.014489985178242515,0.02432020041950156
2012-06-28,0.01649060228911381,0.02420689465132253
2012-06-29,0.01849164617098875,0.03394736092370754
2012-07-02,0.023721041987011304,0.0350636982984045
2012-07-03,0.023721041987011304,0.03882277828919434
2012-07-05,0.025731986956170738,0.038937018152741754
2012-07-06,0.025731986956170738,0.0375693157144259
2012-07-09,0.025329627253937392,0.037911288028773305
2012-07-10,0.017284993835292584,0.033354864231572856
2012-07-11,0.016480445139227307,0.03665903977798357
2012-07-12,0.016480445139227307,0.03438031412693077
2012-07-13,0.025329627253937392,0.0375693157144259
2012-07-16,0.028547651329796864,0.03358278350144661
2012-07-17,0.03377755927102366,0.03848108620345747
2012-07-18,0.0317655046972547,0.042809310502173625
2012-07-19,0.03779970527194454,0.04542907437220545
2012-07-20,0.0418225341064713,0.04053095848926813
2012-07-23,0.0317655046972547,0.03882277828919434
2012-07-24,0.025731986956170738,0.03244328056161483
2012-07-25,0.039810906303705984,0.030279635459940835
2012-07-26,0.02895026709463222,0.04087311762268908
2012-07-27,0.029755242561701145,0.047023294937342364
2012-07-30,0.039810906303706206,0.047023294937342364
2012-07-31,0.03578799211497863,0.04451758411178419
2012-08-01,0.04306879079130588,0.05018688913081859
2012-08-02,0.05156196053477813,0.045949178673293956
2012-08-03,0.05722461427369763,0.050301782861123634
2012-08-06,0.0556064693362901,0.049615222765397426
2012-08-07,0.0556064693362901,0.047553394058871934
2012-08-08,0.05520154900803487,0.048240140973671686
2012-08-09,0.061673104507256715,0.04835466106582964
2012-08-10,0.06531260762631264,0.04743784646180904
2012-08-13,0.06369497481410935,0.04801082056074568
2012-08-14,0.06571744260036705,0.049615222765397426
2012-08-15,0.053179934763784464,0.04457540461508369
2012-08-16,0.053584513675236645,0.04846983502474522
2012-08-17,0.05560646933628988,0.04846983502474522
2012-08-20,0.05965089278360103,0.04972871535265
2012-08-21,0.06046005060650539,0.0520203315197858
2012-08-22,0.0657174426003666,0.050989557280828324
2012-08-23,0.0636949748141089,0.05075958300114425
2012-08-24,0.07542443443239644,0.055455654055910575
2012-08-27,0.07380671626599233,0.05465401341080556
2012-08-28,0.07785122506750408,0.05373803949261635
2012-08-29,0.06976178069347672,0.05522736114788929
2012-08-30,0.07582850121864393,0.054768720322036835
2012-08-31,0.07785122506750364,0.057517856400582934
2012-09-04,0.07541111917708232,0.057494690835448115
2012-09-05,0.07337866494933931,0.057610145022974235
2012-09-06,0.06727985124469815,0.06382935198534745
2012-09-07,0.07134535717958923,0.06567204191846154
2012-09-10,0.06606039577889256,0.06394424571565249
2012-09-11,0.06606039577889256,0.07120011171780383
2012-09-12,0.070532273063451,0.07442423529114817
2012-09-13,0.08069736089078972,0.08133523328331016
2012-09-14,0.08029047741591766,0.0812194988671735
2012-09-17,0.08313601575979868,0.08029820060538495
2012-09-18,0.07947739329977965,0.08075908326012127
2012-09-19,0.08516992100895404,0.0793763418863751
2012-09-20,0.0872019484656934,0.07430924815130613
2012-09-21,0.07703822630556623,0.07281264055216008
2012-09-24,0.08272998582693392,0.07143036622609822
2012-09-25,0.07419140764867427,0.06187055399794916
2012-09-26,0.07012547494277954,0.056572832116438265
2012-09-27,0.07053227306345056,0.06809050823661722
2012-09-28,0.0758178319435523,0.06302248040617986
2012-10-01,0.07867941687717006,0.0612281766131455
2012-10-02,0.08276643207064449,0.06389128250826803
2012-10-03,0.08276643207064449,0.06655401476524325
